肌肉无力,Muscle weakness|
高频,High frequency|high frequency|HF|HiFi High Frequency|
高企,
高气压区,region of high barometric pressure|pleiobar|highpressure area|high pressure area|
高腔,High tune system|a kind of rhyme scheme of Chinese opera|
高强,Gao Qiang|highstrength|be master of|excel in|PE|
高跷,Los Zancos|pogo stick|stilts|
高热,High fever|ardent fever|HIHEAT|hyperpyrexia|hyperpyrexia|
高人,hi man|very capable or talented person|de gao ren|
高人一等,be header and shoulder above|Superior|superior to others|a cut above others|a notch above the others|
高僧,hierarch|eminent monks|Eminent monk|eminent monk|
高山病,puna|puna|mountain sickness|mountain disease|mountain sickness|seroche|
高山反应,the Mountain Sickness|altitude stress|altitude reaction|
高山流水,MOUNTAIN STREAM|referring to the harsh reality that talent and ability can rarely meet people who can really appreciate them|Mountain and Flowing Water|High Mountain and Flowing water|
高山族,Gaoshan|the Gaoshan nationality living in Taiwan Province|
高尚,noble|great|refinement|nobleness|nobility|greatness|fine|loftiness|
高烧,High Fever|high fever|fever|hyperpyrexia|
高射炮,ackack|aerogun|lutte antiarienne|antiaircraft warfare|antiaircraft artillery|archibald|flack|
高深,recondite|Montagu|above somebody|advanced|profound|
高升,Smedley|Soaring|be promoted to a higher position or rank|Climateck|
高师,
高士,Coats|Goldsmith|profound scholar|takashi|
高手,high|superior|masterhand|Master|ace|
高寿,longevity|long life|aged|
高耸,top|rise|towering|protrude|tower|domineer over|soar|
高速,superspeed|HS|Hispeed|high speed|top speed|High speed|
高速公路,freeway|motorway|expressway|expressway|Highway|
高谈阔论,declaim|speechify|spout|harangue|
高汤,soupstock|Doubleboiled soup|Stock|
高堂,Takado|Diocese|main hall|a hall with high ceiling|
高徒,
高危,High risk|HRALL|high risk|high danger|
高位,perch|highorder|highorder position|altitude|high order position|High|
高温,hyperthermy|high temperature|high temperature|heat|hyperthermia|hyperthermia|
高下,Takaori|high and low|koxge|relative superiority or inferiority|
高小,upper primary|higher primary school|
高校,colleges and universities|College|university|
高效,efficient|Efficient|Effective|Efficiency|
高新技术,high and new technology|hightech|innovative and high technology|High and new technology|advanced technology|
高薪,big salary|salary is competitive|fat salary|good money|Paid|
高兴,delight|pleasure|Happy|delightfulness|
高血压,hypertension|HYPERTENSION|hypertension|high blood pressure|
高压,high tension|high pressure|hyperpiesia|high pressure|highhanded|high voltage|
高压电,high tension electricity|high voltage|Haute tension|High voltage|
高压锅,superpressure kettle|pressure cooker|autoclave|pressure cooker|
高压脊,highpressure ridge|ridge|Crte baromtrique|
高压线,high voltage wire|high tension line|Cable|hightension cablehighvoltage power lines|
高雅,deceny|Elegant|HoYodeMonterrey|elegance|Sophistication|elegant|decorousness|
高扬,fly|uplift|soar|
高原,plateau|highland|plateau|
高远,Gene Gaosinger|bright|faraway|lofty|Takatoa Japanese city|Lofty|
高云,highlevel cloud|upper clouds|high cloud|high cloud|High Level Cloud|
高燥,high dryness|high and dry|
高瞻远瞩,look far ahead and aim high|take a broad and longterm view|Looking Far And Aiming High|visionary company|Think beforehand|
高涨,rise high|upsurge|Upsurge|gather steam|surge ahead|boom|boom|run high|
高枕无忧,rest easy|at ease|Sit back and relax|have nothing worry about|well at ease|Saved|
高知,highlevel intellectual|kochi|Kochi|
高职,
高中,senior middle school|High School|senior high school|
高姿态,show magnanimity|lofty stance|high profile|
高足,your pupil|student|your brilliant disciple|the best pupil|
高祖,Gaozu|greatgreatgrandfather|
羔羊,lamb|lamb|kidling|cordero|kidlet|yeanling|kid|
膏肓,Gao Huang Point|Gaohuangshu|gao huanginter cardiodiaphragmatic part|the region below the heart|
膏剂,mastic|electuary|ointment|Oint|medicinal extract|paste|
膏粱,fat rich food|fat meat and fine grain|greasy and surfeit flavour|rich food|
膏药,stickingplaster|sparadrap|plaster|das Pflaster|salve mull|
膏腴,fertile|gao yu|
糕饼,cake|girdlecake|TASTYKAKE|pastry|
糕点,cake|ptisserie|pastry|pastry|
糕干,
搞定,work out|Funky House Remix|Made|Buttoned|
搞鬼,Monkey business|The Army|be up to some mischief|Up to|play tricks|
搞笑,BT|Funny|funnyprovokeamuse laughter|JJoke|
缟素,white mourning dress|
稿本,manuscrito|script|manuscript|manuscript|
稿酬,draft rewards|contribution fee|remuneration|
稿费,royalty from a book or an article|Remuneration|authors remuneration|contribution fee  an authors remuneration|payment for an article or book written|contribution fee|
稿件,contribution|contribution|story|Manuscript|manuscript|
稿纸,writing paper|manuscript paper|french folio|draft paper|
稿子,sketch|Draft|draft of a document|Manuscript|draft|
告白,Confessions|confession|
告别,Farewell|farewell|bid farewell to|Parting|say goodbye to|
告病,
告成,Lfeeling|Laurel|accomplish|complete|succeed|
告吹,fail|fizzle out|blow up|fall through|
告辞,to take ones leave|say goodbye to|farewell|take leave|
告发,prosecute|tell on|lodge an accusation against|delate|denounce|inform against|report an offender|
告负,
告急,ask for emergency help|make an urgent request for help in an emergency|be in an emergency|report an emergency|
告假,take a leave|Taking leave|ask for leave|
告捷,Laurel|Lfeel|success|win victory|
告诫,Warn|admonition|caution against|precept|admonish|warning|preach to|to exhort|
告警,give an alarm|Alerts|alarm|MAW|report an emergency|
告竣,be completed|come true|implement|arrive at|
告老,retire on account of age|retire from age|
告密,black mail|Informer|give secret information against sb|inform against sb|nose on|
告破,Solved|bust|crack|
告罄,zh|be exhausted|run out|
告示,announcement|notice|placard|bulletin|official notice|
告诉,inform|impart|let know|tell|Tell|
告诉,inform|impart|let know|tell|Tell|
告退,quit|retire|ask for leave to withdraw from a meeting etc|resign|
告慰,Comfort letter|comfort|console|letter of comfort|
告知,announcement|Inform|notification|inform|let someone into|notify|advise|tell|
告终,end up|come to an end|come to a conclusion|conclude|
告状,bring a lawsuit against sb|sue|indictment|indict|file a suit|go to law against sb|Complain|Llevar a juicio poner pleito|
告罪,
诰封,
诰命,royal edict|Imperial Mandate|royal orders|imperial mandate|
锆石,azorite|ostranite|zircon|Zircon|acorite|zircon|zirconite|
戈比,Kopeck|kop|kopeck|Gobbi|
戈壁,gobi|Dsert de Gobi|the Gobi Desert|Gobi Desert|
疙瘩,Keloid|pimple|lump|knot|Pimple|a knot in ones heart|
咯咯,RoRo|Giggle|cackle|help help help|cluck|titter|chuckle|
格登,Blagdon|Gurdon|Gurdon Arkansas|Girton|
格格,i can sing|Gege|princess|PRINCESS|
哥哥,older brother|elder brother|Brother|Nichan|
哥老会,the Society of Brothers|buddy society|society of brothers|GeLaoHui|
哥儿,ge er|boys|Brothers|brothers|Boys|
胳臂,arm|
胳膊,braccio|arm|brazo|
鸽子,dove|pigeondovebird of peace|Pigeon|La Paloma|
搁笔,sign off|stop writing either temporarily or for good|to put down the pen|put down the pen|to stop writing|
搁浅,run aground|stranding|Stranded|Stranding|pile up|Run aground|take the ground|
搁置,pocket|put aside|lay up|lay on the table|lay aside|shelve|
割爱,Giving uo love|part with some cherished possessions|Love Cuts|give up what one treasures|
割除,cut off|cut out|resect|excise|
割地,cede territory|
割断,cut off|segmentation|chop up|lop off|sever|
割接,Switchover|cleft grafting|Cut over|cut over|
割据,Separatism|segmentation|fragmenting|set up a separatist regime by force of arms|
割礼,circumcision|
割裂,Sunder|separate|lacerate|isolate|cut apart|split|dissever|
割让,cede|cession|ceding|
割肉,
割舍,Mow the shed|part with|give up|Leave behind|
割线,transversal|Droite scante|secant|secant|Secant line|secant line|
歌唱,sing|chant|sing in praise of|singing|praise in a song|
歌词,Paroles|lyrics|Lyrics|libretto|lyric|words of song|
歌功颂德,Singing the praises of|sing the praises of sb|Imbongi|Jabulani|
歌喉,singing voice|voice|
歌剧,opera|Opera|opern|
歌诀,formulas put into verse|Verses|mnemonics|
歌迷,song fan|Fans|fan|A Song Fan|Feet of Clay|
歌女,singsong girls|singsong girl|Singsong girls|
歌谱,Book of songs|Better man  Robbie Williams|music of a song|
歌曲,chanson|song|
歌声,Singing|singing|Vocal|song|
歌手,singer|Singer|
歌颂,in praise of|eulogize|celebrate|extol|Praise|
歌坛,Getan Performance|song circles|Pop music|Pop songs|
歌厅,Singing Hall|KTV|cabaret|singing hall|Cabaret|
歌舞,singing and dancing|Musical|song and dance|
歌舞伎,Kabuki|kabuki|
歌舞剧,song and dance drama|Revue|Musical|musical drama|
歌舞升平,The Musical Singer|Rock And Grooves|sing and dance to extol the good times|Merry|sing and dance in celebration of peace|celebrate peace by singing and dancing|
歌舞厅,Song and Dance Hall|ball room|dancing hall|ballroom|Dancing Hall|
歌星,Singer|swan|music star|
歌谣,song|folk song|chant|nursery rhyme|rustic song|ballad|
歌吟,sing|Eulogies|
歌咏,Jodie|singing|compliment|
歌仔戏,Taiwanese opera|taiwan opera|opra taiwanais|
歌子,
革出,to expel|dismiss|to kick out|expel|
革除,get rid of|redress|reform|abolish|
革故鼎新,destroy the old and establish the new|make general reforms|get rid of the stale and take in the fresh|Reform and innovation|reform and transform|
革命,revolution|Revolution|
革命家,revolutionary|revolutionist|
革新,renovate|reformation|innovate|innovation|
革职,fire|Dismissal|dismiss|cashier|deposition|discharge from a position|remove from office|
阁楼,PENTHHOUSE|loft|Attic|attic|cockloft|garret|
阁下,Excellency|His or Her Excellency|Monseigneur|Son Excellence|Your Excellency|
阁员,cabinet member|member of the cabinet|
格调,pattern|style|Life Style|literary or artistic style|
格斗,wrestle|DestractionDesire|wrestling|Fighting|grapple|FTG|fistfight|
格格,i can sing|Gege|princess|PRINCESS|
格格不入,against the grain|ajar|Incompatible with|incompatible with|like a square peg in a round hole|Out of Place|
格局,pattern|format|Pattern|setup|situation|structure|
格里历,julian calendar|gregorian calendar|Gregorian calendar|Gregorian calendar|
格鲁派,Gelug|Gelugpa|Dgelugspa|Gelukba Order|
格律,Classical Chinese poetry forms|Metre|Meter|rules and forms of classical poetic composition|
格杀勿论,shoot to kill|kill with lawful authority|kill anybody who puts up resistance|Shoot on sight|kill those who resist with lawful authority|capture and summarily excecute|Crew Expendable|
格式,SWF|layout|RTF|format|Format|
格式化,disk formatting|formatting|Format|
格外,Particularly|exceptionally|especially|extraordinarily|all the more|
格物,investigation and research of things|Investigation of things|GeWu|Ge Wustudy physical naturestudy the world|
格物致知,Thoughtcast|study the nature of things|
格言,motto|aphorism|maxim|aphorisme|
格致,
格子,Lattice|grid|grid|grating|checks|lattice|
葛布,kappn|Gecloth|kohemp cloth|
葛藤,Confusion|kudzu vine|kudzu|kudzu|Pueraria lobata|
蛤蚧,Gecko|Tokay|Gene|Gekko|gecko|
蛤蜊,almeja|Palourde|clam|
隔岸观火,look on at sbs trouble with indifference|Indifferent manner|look on sbs trouble with indifference|stand by|
隔壁,Next door|bulkhead|next door|septum|dissepiment|
隔断,cut off|obstruct|separate|Partition wall|PARTITIOINS|severed|
隔断,cut off|obstruct|separate|Partition wall|PARTITIOINS|severed|
隔行,interlacing|interleaving|double line|interleave|DeInterlace|Interlaced|
隔阂,diaphragm|rift|estrangement|misunderstanding|barrier|
隔绝,cut off|isolation|isolate|isolated|insulate|completely cut off|
隔离,segregate|isolation|quarantine|insulate|
隔离带,DMZ demilitarized zone|median|isolation strip|Isolation with|isolation belt|
隔膜,diaphragm|dissepiment|diaphragm|Something Between Us|lack of mutual understanding|membrane|septum|septum|
隔热,insulation|heat insulation|thermal insulation|Thermal insulation|
隔日,every other day|Dieb alt|dieb alt|qod|on alternate days|Alt dieb|
隔山,The Hills Consumers|foster|Cynachum uilfordii Hemsl|
隔扇,partition board|spier|fusma|
隔世,
隔夜,over night|Overnight|of the previous night|
隔音,Acoustic insulation|sound insulation|sound insulation|soundproof|
隔音符号,syllabledividing mark|syllable dividing mark|Syllable dividing mark|
膈膜,diaphragm|Diaphragm|Diaphragme|
个案,case|romalpa case romalpa|case history|individual cases|
个别,specific|respective|individual|several|exceptional|
个股,share|individual stock|individual share|
个例,case|casebycase|
个人,person|personne|personage|
个人数字助理,PDA personal digital assistant|personal digital assistant|PDA|Personal Data Assistant|
个人所得税,Individual Income Tax|personal income tax|individual income tax|tax on personal income|
个人主义,Individualism|individualistic|individualism|
个体,zooid|unity|entity|individual|individual|unit|
个体户,the selfemployed|selfemployed entrepreneurs|individual household|
